iter	Logloss
0	0.683512636
1	0.6742653967
2	0.666211515
3	0.6584574336
4	0.6515249764
5	0.6450208028
6	0.6392803445
7	0.6340723921
8	0.6291981593
9	0.6248987062
10	0.6207075291
11	0.6170858069
12	0.6138485703
13	0.6104893874
14	0.6074038252
15	0.6046908318
16	0.6022187702
17	0.6000043913
18	0.5974580051
19	0.5955646391
20	0.5937120045
21	0.5919388818
22	0.5902905516
23	0.5888792192
24	0.587729485
25	0.5863612757
26	0.5852904383
27	0.5839572865
28	0.5826166201
29	0.5813628241
30	0.5804618395
31	0.5796402749
32	0.5789076281
33	0.5782456335
34	0.5772516914
35	0.5764576468
36	0.5759500947
37	0.5753089317
38	0.574879294
39	0.574313461
40	0.5739434583
41	0.5735777431
42	0.5731462968
43	0.5724363316
44	0.5719516492
45	0.5714864719
46	0.5712000299
47	0.5708738343
48	0.5703400521
49	0.5700574707
50	0.5695248867
51	0.5691445783
52	0.5689443549
53	0.5684186474
54	0.5680820497
55	0.5676763238
56	0.5675599962
57	0.5674407674
58	0.5671723385
59	0.5669428967
60	0.5666916959
61	0.5665393788
62	0.566387305
63	0.5661999442
64	0.5659565748
65	0.5657645683
66	0.5656096072
67	0.5654648139
68	0.565147432
69	0.5647947263
70	0.5646121396
71	0.5645059615
72	0.5642103523
73	0.5640665874
74	0.5639040886
75	0.563810562
76	0.563673187
77	0.5635163391
78	0.5632443617
79	0.563058961
80	0.5627983543
81	0.5626441643
82	0.5624634276
83	0.5623147003
84	0.5621345511
85	0.561876336
86	0.5617024391
87	0.5614707662
88	0.5613519322
89	0.5612936835
90	0.561028982
91	0.5608565816
92	0.5606866967
93	0.5606342871
94	0.5605006258
95	0.5602993971
96	0.5600876561
97	0.5599201537
98	0.5597470693
99	0.5595339191
100	0.5593448506
101	0.559205621
102	0.5590814758
103	0.558933786
104	0.5587961723
105	0.5587340951
106	0.5586789036
107	0.5585856524
108	0.5585076921
109	0.5584255866
110	0.5582663241
111	0.5582021445
112	0.5580110286
113	0.5579096843
114	0.5577911854
115	0.5576635469
116	0.5576365502
117	0.5576059316
118	0.5574545464
119	0.5572968585
120	0.5572388439
121	0.557139143
122	0.5570759963
123	0.556942009
124	0.5567988454
125	0.5566948984
126	0.5565693898
127	0.5564099161
128	0.5562494051
129	0.5562027198
130	0.5560704724
131	0.5559862828
132	0.5558803618
133	0.5558706116
134	0.5557783565
135	0.5557039722
136	0.555581856
137	0.5555027527
138	0.5553681641
139	0.5552382119
140	0.5552017772
141	0.5551848934
142	0.5550887226
143	0.5549986756
144	0.5549225744
