iter	Passed	Remaining
0	6	6802
1	11	5973
2	21	7145
3	25	6348
4	37	7457
5	42	7016
6	46	6640
7	50	6291
8	55	6063
9	59	5873
10	67	6074
11	71	5868
12	75	5761
13	83	5850
14	90	5935
15	95	5888
16	99	5744
17	106	5784
18	111	5769
19	116	5684
20	121	5641
21	126	5606
22	130	5528
23	141	5746
24	145	5690
25	149	5598
26	157	5666
27	160	5566
28	162	5455
29	166	5388
30	173	5418
31	177	5356
32	199	5846
33	205	5831
34	209	5776
35	221	5943
36	226	5884
37	230	5843
38	241	5950
39	252	6065
40	256	6010
41	264	6025
42	268	5975
43	276	5998
44	282	6001
45	292	6061
46	298	6062
47	303	6017
48	308	5979
49	316	6009
50	321	5989
51	328	5983
52	334	5974
53	338	5934
54	344	5916
55	348	5870
56	352	5831
57	357	5801
58	362	5781
59	378	5922
60	383	5897
61	390	5908
62	397	5906
63	401	5875
64	406	5850
65	411	5827
66	415	5792
67	420	5762
68	428	5775
69	437	5811
70	442	5785
71	450	5808
72	455	5787
73	460	5763
74	464	5724
75	473	5760
76	477	5720
77	482	5699
78	493	5755
79	498	5732
80	510	5788
81	516	5787
82	522	5770
83	531	5798
84	536	5779
85	546	5805
86	564	5929
87	571	5920
88	577	5912
89	583	5897
90	588	5880
91	594	5863
92	601	5862
93	610	5879
94	615	5866
95	623	5871
96	633	5898
97	637	5866
98	640	5832
99	647	5826
100	654	5822
101	661	5823
102	672	5857
103	676	5828
104	695	5931
105	700	5905
106	707	5901
107	712	5885
108	717	5868
109	728	5890
110	734	5884
111	739	5863
112	743	5838
113	748	5821
114	754	5809
115	762	5808
116	766	5784
117	771	5766
118	777	5756
119	781	5731
120	786	5714
121	790	5692
122	795	5669
123	800	5655
124	811	5683
125	821	5698
126	826	5680
127	831	5665
128	837	5653
129	844	5651
130	848	5631
131	865	5692
132	875	5704
133	879	5686
134	893	5722
135	899	5713
136	904	5694
137	909	5679
138	915	5668
139	920	5657
140	925	5641
141	935	5654
142	940	5638
143	946	5627
144	951	5611
145	956	5595
146	964	5595
147	969	5582
148	974	5567
149	981	5561
150	986	5545
151	992	5536
152	999	5533
153	1004	5518
154	1013	5525
155	1019	5514
156	1029	5526
157	1037	5528
158	1043	5517
159	1053	5529
160	1057	5512
161	1062	5498
162	1067	5482
163	1072	5465
164	1079	5464
165	1084	5448
166	1089	5434
167	1096	5428
168	1100	5413
169	1106	5403
170	1114	5401
171	1119	5389
172	1125	5378
173	1131	5369
174	1136	5355
175	1141	5343
176	1160	5397
177	1166	5386
178	1171	5373
179	1176	5360
180	1186	5370
181	1193	5366
182	1205	5381
183	1208	5361
184	1214	5348
185	1219	5337
186	1237	5380
187	1246	5382
188	1251	5370
189	1288	5494
190	1295	5485
191	1300	5473
192	1306	5462
193	1322	5494
194	1327	5481
195	1341	5504
196	1360	5544
197	1377	5580
198	1388	5590
199	1400	5601
200	1406	5589
201	1427	5639
202	1438	5649
203	1446	5642
204	1459	5658
205	1463	5641
206	1471	5635
207	1488	5668
208	1504	5694
209	1509	5677
210	1514	5663
211	1519	5647
212	1524	5630
213	1529	5616
214	1538	5618
215	1543	5603
216	1549	5590
217	1554	5577
218	1563	5574
219	1568	5559
220	1573	5545
221	1578	5530
222	1583	5517
223	1591	5514
224	1596	5498
225	1601	5486
226	1608	5477
227	1618	5478
228	1623	5467
229	1635	5476
230	1647	5485
231	1660	5497
232	1675	5516
233	1681	5504
234	1686	5491
235	1694	5486
236	1701	5478
237	1706	5463
238	1715	5461
239	1720	5448
240	1727	5441
241	1733	5428
242	1739	5417
243	1743	5403
244	1752	5401
245	1763	5404
246	1767	5388
247	1777	5390
248	1799	5427
249	1804	5414
250	1810	5401
251	1815	5387
252	1821	5379
253	1833	5384
254	1844	5387
255	1854	5388
256	1858	5371
257	1863	5360
258	1881	5381
259	1888	5375
260	1892	5358
261	1898	5346
262	1904	5335
263	1909	5322
264	1915	5313
265	1920	5298
266	1930	5299
267	1936	5289
268	1941	5275
269	1952	5278
270	1963	5280
271	1974	5284
272	1978	5269
273	1994	5283
274	2010	5299
275	2015	5287
276	2024	5284
277	2033	5281
278	2038	5267
279	2043	5255
280	2052	5252
281	2056	5237
282	2062	5225
283	2071	5222
284	2078	5213
285	2090	5219
286	2096	5208
287	2102	5197
288	2112	5196
289	2127	5208
290	2142	5220
291	2156	5229
292	2175	5248
293	2180	5236
294	2185	5224
295	2191	5211
296	2195	5197
297	2215	5217
298	2224	5215
299	2230	5205
300	2251	5227
301	2257	5216
302	2262	5205
303	2274	5207
304	2281	5199
305	2299	5215
306	2305	5203
307	2314	5198
308	2321	5190
309	2329	5184
